Title;Link;Year;PriceUsd;PriceGrv;Region
MINI Clubman john cooper works;https://auto.ria.com/auto_mini_clubman_31483642.html; 2017 ;21 500;605 225;Черновцы
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31709920.html; 2007 ;11 500;316 710;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31904458.html; 2011 ;10 200;287 130;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31904153.html; 2007 ;8 500;239 275;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31903678.html; 2006 ;6 600;185 790;Киев
MINI Countryman Countryman S.OFICAl;https://auto.ria.com/auto_mini_countryman_29453367.html; 2013 ;16 600;467 290;Тернополь
MINI One;https://auto.ria.com/auto_mini_one_31039402.html; 2002 ;4 800;132 192;Покровск(Красноармейск)
MINI Countryman S 4WD;https://auto.ria.com/auto_mini_countryman_28515936.html; 2015 ;20 500;564 775;Харьков
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31901163.html; 2009 ;7 500;203 550;Днепр(Днепропетровск)
MINI One;https://auto.ria.com/auto_mini_one_31899657.html; 2015 ;14 500;406 145;Запорожье
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31899835.html; 2017 ;17 900;503 885;Львов
MINI Cooper;https://auto.ria.com/auto_mini_cooper_29309314.html; 2012 ;11 200;308 784;Одесса
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31717648.html; 2014 ;13 900;394 760;Днепр(Днепропетровск)
MINI Cooper TURBO;https://auto.ria.com/auto_mini_cooper_25824659.html; 2011 ;9 700;273 055;Одесса
MINI Cooper;https://auto.ria.com/auto_mini_cooper_29295112.html; 2009 ;7 700;212 135;Запорожье
MINI Cooper S Cabrio;https://auto.ria.com/auto_mini_cooper_31755998.html; 2010 ;9 400;264 892;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31789328.html; 2005 ;5 699;160 427;Трускавец
MINI One;https://auto.ria.com/auto_mini_one_31896581.html; 2010 ;7 500;204 975;Полонное
MINI Cooper;https://auto.ria.com/auto_mini_cooper_30951059.html; 2016 ;16 500;454 740;Днепр(Днепропетровск)
MINI Countryman;https://auto.ria.com/auto_mini_countryman_27362335.html; 2012 ;14 950;412 022;Харьков
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31896020.html; 2011 ;8 500;239 275;Измаил
MINI Cooper Cooper S Bayswater;https://auto.ria.com/auto_mini_cooper_31880930.html; 2012 ;11 900;334 985;Киев
MINI One;https://auto.ria.com/auto_mini_one_31675969.html; 2007 ;7 900;217 566;Белгород-Днестровский
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31892923.html; 2006 ;6 999;192 752;Киев
MINI Countryman S;https://auto.ria.com/auto_mini_countryman_31649466.html; 2015 ;16 500;462 165;Тернополь
MINI Cooper R50;https://auto.ria.com/auto_mini_cooper_30452462.html; 2002 ;5 500;151 525;Харьков
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31891669.html; 2004 ;5 100;142 035;Ковель
MINI Cooper SE;https://auto.ria.com/auto_mini_cooper_31160448.html; 2020 ;32 703;893 780;Днепр(Днепропетровск)
MINI Countryman COOPER;https://auto.ria.com/auto_mini_countryman_31859581.html; 2012 ;9 700;267 332;Харьков
MINI Clubman S;https://auto.ria.com/auto_mini_clubman_30986215.html; 2016 ;17 800;498 578;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31702438.html; 2016 ;16 400;461 660;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31719206.html; 2015 ;12 499;349 972;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_28273214.html; 2011 ;10 700;296 711;Херсон
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31883009.html; 2015 ;20 000;554 600;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31724320.html; 2018 ;28 999;816 322;Киев
MINI Clubman S   ALL4;https://auto.ria.com/auto_mini_clubman_29757171.html; 2018 ;19 990;551 324;Киев
MINI Cooper s;https://auto.ria.com/auto_mini_cooper_28232915.html; 2016 ;18 000;486 540;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31886922.html; 2011 ;10 700;301 205;Запорожье
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31658261.html; 2011 ;7 500;206 700;Южноукраинск
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31885934.html; 2019 ;31 500;886 725;Харьков
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31885160.html; 2014 ;14 800;407 592;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31885144.html; 2018 ;22 800;636 120;Тернополь
